databaseId,durationTotal,createdTime,endTime
368230331338976472,2460,2018-02-23 09:54:19.660000+00:00,2018-02-23 09:54:21.526000+00:00
368230331338976472,43485,2018-02-24 17:28:43.200000+00:00,2018-02-24 17:29:26.505000+00:00
368230331338976472,35340,2018-02-27 22:14:27.474000+00:00,2018-02-27 22:15:02.814000+00:00
368230331338976472,1997,2018-02-25 09:51:39.910000+00:00,2018-02-25 09:51:41.880000+00:00
368230331338976472,43548,2018-02-21 21:24:11.388000+00:00,2018-02-21 21:24:54.936000+00:00
368230331338976472,1138295,2018-02-27 01:36:37.378000+00:00,2018-02-27 01:55:35.673000+00:00
368230331338976472,54907,2018-02-26 00:53:20.940000+00:00,2018-02-26 00:54:15.847000+00:00
368230331338976472,31730,2018-02-23 20:26:36.507000+00:00,2018-02-23 20:27:08.237000+00:00
368230331338976472,4221,2018-02-23 02:42:41.460000+00:00,2018-02-23 02:42:45.267000+00:00
368230331338976472,12645,2018-02-23 02:13:46.831000+00:00,2018-02-23 02:13:59.476000+00:00
368230331338976472,74882,2018-02-22 14:30:44.681000+00:00,2018-02-22 14:31:59.563000+00:00
368230331338976472,33650,2018-02-23 21:41:52.719000+00:00,2018-02-23 21:42:26.369000+00:00
368230331338976472,131803,2018-02-25 14:04:39.606000+00:00,2018-02-25 14:06:51.409000+00:00
368230331338976472,27880,2018-02-23 20:29:52.989000+00:00,2018-02-23 20:30:20.869000+00:00
368230331338976472,22495,2018-02-22 05:43:32.473000+00:00,2018-02-22 05:43:54.968000+00:00
368230331338976472,757,2018-02-22 23:15:42.400000+00:00,2018-02-22 23:15:42.797000+00:00
368230331338976472,66961,2018-02-25 15:41:13.365000+00:00,2018-02-25 15:42:20.326000+00:00
368230331338976472,47881,2018-02-26 01:37:13.330000+00:00,2018-02-26 01:38:00.914000+00:00
368230331338976472,49378,2018-02-23 02:12:24.898000+00:00,2018-02-23 02:13:14.276000+00:00
368230331338976472,1810424,2018-02-28 15:24:25.323000+00:00,2018-02-28 15:54:35.747000+00:00
368230331338976472,41604,2018-02-24 01:01:24.716000+00:00,2018-02-24 01:02:06.320000+00:00
368230331338976472,38654,2018-02-25 17:50:41.490000+00:00,2018-02-25 17:51:19.703000+00:00
368230331338976472,1100,2018-02-25 04:31:04.904000+00:00,2018-02-25 04:31:06.400000+00:00
368230331338976472,19124,2018-02-24 04:53:26.297000+00:00,2018-02-24 04:53:45.421000+00:00
368230331338976472,38166,2018-02-27 23:39:19.749000+00:00,2018-02-27 23:39:57.915000+00:00
368230331338976472,49591,2018-02-26 01:12:24.789000+00:00,2018-02-26 01:13:14.380000+00:00
368230331338976472,32686,2018-02-23 22:34:08.815000+00:00,2018-02-23 22:34:41.501000+00:00
368230331338976472,27250,2018-02-24 04:14:51.125000+00:00,2018-02-24 04:15:18.375000+00:00
368230331338976472,61662,2018-02-22 16:28:17.449000+00:00,2018-02-22 16:29:19.111000+00:00
368230331338976472,28172,2018-02-26 03:15:42.135000+00:00,2018-02-26 03:16:10.307000+00:00
368230331338976472,26534,2018-02-22 09:58:03.190000+00:00,2018-02-22 09:58:29.724000+00:00
368230331338976472,30312,2018-02-22 05:51:03.723000+00:00,2018-02-22 05:51:34.350000+00:00
368230331338976472,26372,2018-02-25 22:50:52.871000+00:00,2018-02-25 22:51:19.243000+00:00
368230331338976472,1113601,2018-02-25 20:36:54.902000+00:00,2018-02-25 20:55:28.503000+00:00
368230331338976472,49931,2018-02-25 20:56:41.275000+00:00,2018-02-25 20:57:31.206000+00:00
368230331338976472,22993,2018-02-23 20:27:47.312000+00:00,2018-02-23 20:28:10.305000+00:00
368230331338976472,26731,2018-02-28 09:43:24.338000+00:00,2018-02-28 09:43:51.690000+00:00
368230331338976472,7645,2018-03-02 04:09:18.792000+00:00,2018-03-02 04:09:26.437000+00:00
368230331338976472,8027,2018-03-02 04:20:08.400000+00:00,2018-03-02 04:20:16.670000+00:00
368230331338976472,605057,2018-03-02 04:10:02.413000+00:00,2018-03-02 04:20:07.470000+00:00
368230331338976472,34703,2018-03-02 04:09:27.280000+00:00,2018-03-02 04:10:01.731000+00:00
368230331338976472,9839,2018-03-02 04:08:41.691000+00:00,2018-03-02 04:08:51.530000+00:00
368230331338976472,33176,2018-03-02 04:20:53.143000+00:00,2018-03-02 04:21:26.319000+00:00
368230331338976472,8410,2018-03-02 03:45:39.874000+00:00,2018-03-02 03:45:48.284000+00:00
368230331338976472,9195,2018-03-02 04:31:30.503000+00:00,2018-03-02 04:31:39.698000+00:00
368230331338976472,22933,2018-03-02 03:34:24.305000+00:00,2018-03-02 03:34:47.238000+00:00
368230331338976472,33988,2018-03-02 03:57:57.786000+00:00,2018-03-02 03:58:31.774000+00:00
368230331338976472,32712,2018-03-02 03:46:23.993000+00:00,2018-03-02 03:46:56.705000+00:00
368230331338976472,31807,2018-03-02 04:43:39.212000+00:00,2018-03-02 04:44:11.190000+00:00
368230331338976472,8791,2018-03-02 03:34:14.843000+00:00,2018-03-02 03:34:23.634000+00:00
368230331338976472,613083,2018-03-02 03:24:00.754000+00:00,2018-03-02 03:34:13.837000+00:00
368230331338976472,602023,2018-03-02 04:21:27.850000+00:00,2018-03-02 04:31:29.873000+00:00
368230331338976472,8765,2018-03-02 04:43:29.809000+00:00,2018-03-02 04:43:38.574000+00:00
368230331338976472,7812,2018-03-03 23:40:30.506000+00:00,2018-03-03 23:40:38.318000+00:00
368230331338976472,624754,2018-03-04 00:16:26.620000+00:00,2018-03-04 00:26:51.374000+00:00
368230331338976472,22496,2018-03-03 23:40:04.335000+00:00,2018-03-03 23:40:26.831000+00:00
368230331338976472,21240,2018-03-04 00:27:02.342000+00:00,2018-03-04 00:27:23.582000+00:00
368230331338976472,32841,2018-03-03 23:52:25.978000+00:00,2018-03-03 23:52:58.819000+00:00
368230331338976472,8047,2018-03-04 00:27:27.700000+00:00,2018-03-04 00:27:35.117000+00:00
368230331338976472,34103,2018-03-04 00:04:13.464000+00:00,2018-03-04 00:04:47.567000+00:00
368230331338976472,626545,2018-03-03 23:17:42.183000+00:00,2018-03-03 23:28:08.728000+00:00
368230331338976472,9703,2018-03-04 00:26:52.160000+00:00,2018-03-04 00:27:01.719000+00:00
368230331338976472,23493,2018-03-03 23:51:50.895000+00:00,2018-03-03 23:52:14.388000+00:00
368230331338976472,37896,2018-03-04 00:27:35.827000+00:00,2018-03-04 00:28:13.723000+00:00
368230331338976472,8589,2018-02-25 16:47:12.585000+00:00,2018-02-25 16:47:21.174000+00:00
368230331338976472,4642,2018-02-23 02:42:41.680000+00:00,2018-02-23 02:42:45.710000+00:00
368230331338976472,21283,2018-02-28 05:42:25.234000+00:00,2018-02-28 05:42:46.517000+00:00
368230331338976472,13658,2018-02-24 10:01:01.422000+00:00,2018-02-24 10:01:15.800000+00:00
